ID,Pop,Family,DateBorn,Sex,Length,Stage,Date,Time,Coder,Chase,ForcedCop,G_Swing,Sigmoid,Suc_SigCop,Ignore,Lunge,Nip,Suc_ForcCop,Copulated
178,CQ,409,5/20/2016,M,1.784,After,9/23/2016,1945,NMP,0,0,4,0,0,1,0,0,0,N
178,CQ,409,5/20/2016,M,1.784,Before,9/23/2016,1415,NMP,0,0,17,1,0,2,0,0,0,N
179,CQ,414,6/17/2016,M,1.643,After,9/23/2016,1945,NMP,0,0,10,0,0,1,0,0,0,N
179,CQ,414,6/17/2016,M,1.643,Before,9/23/2016,1415,NMP,1,0,10,0,0,1,0,0,0,N
180,CQ,430,6/17/2016,M,1.814,After,9/23/2016,1945,NMP,0,0,9,0,0,1,0,0,0,N
180,CQ,430,6/17/2016,M,1.814,Before,9/23/2016,1415,NMP,0,0,2,0,0,1,0,0,0,N
181,CQ,409,5/20/2016,M,1.928,After,9/23/2016,1930,NMP,0,0,0,0,0,1,0,0,0,N
181,CQ,409,5/20/2016,M,1.928,Before,9/23/2016,1430,NMP,0,1,8,1,0,2,0,0,0,N
182,CQ,438,6/15/2016,M,1.616,After,9/23/2016,1930,NMP,2,0,12,0,0,1,0,0,0,N
182,CQ,438,6/15/2016,M,1.616,Before,9/23/2016,1430,NMP,0,0,17,0,0,1,0,0,0,N
183,CQ,414,6/17/2016,M,1.746,After,9/23/2016,1930,NMP,4,12,14,0,0,2,4,5,0,N
183,CQ,414,6/17/2016,M,1.746,Before,9/23/2016,1430,NMP,3,8,35,0,0,4,4,6,0,N
184,CQ,430,6/17/2016,M,1.714,After,9/23/2016,1930,NMP,2,7,41,0,0,2,11,3,0,N
184,CQ,430,6/17/2016,M,1.714,Before,9/28/2016,1230,NMP,0,0,15,2,0,2,0,0,0,N
185,CQ,438,6/15/2016,M,1.756,After,9/23/2016,1930,NMP,0,0,0,0,0,1,0,0,0,N
185,CQ,438,6/15/2016,M,1.756,Before,9/23/2016,1445,NMP,0,0,0,0,0,1,0,0,0,N
186,CQ,409,5/20/2016,M,1.895,After,9/23/2016,1930,NMP,0,0,3,0,0,2,0,0,0,N
186,CQ,409,5/20/2016,M,1.895,Before,9/23/2016,1445,NMP,2,1,12,2,0,3,0,2,0,N
187,CQ,430,6/17/2016,M,1.754,After,9/23/2016,1930,NMP,1,12,29,1,0,1,8,8,0,N
187,CQ,430,6/17/2016,M,1.754,Before,9/23/2016,1445,NMP,1,25,20,0,0,2,11,5,0,N
