ID,Pop,Family,DateBorn,Sex,Length,Stage,Date,Time,Coder,Chase,Forced_Cop_Attempt,G_Swing,Ignore,Lunge,Nip,Sigmoid,Suc_Forced_Cop,Suc_Sigmoid_Cop,TTSigmoid,TTAvgSigmoid,Copulated
124,QC,434,6/10/2016,M,1.783,After,9/16/2016,820,NMP,0,0,24,0,0,0,0,0,0,0,0,N
126,CQ,405,6/6/2016,M,1.747,After,9/16/2016,1210,NMP,0,0,2,0,0,0,0,0,0,0,0,N
127,CQ,426,5/3/2016,M,1.569,After,9/16/2016,1210,NMP,0,2,19,1,1,1,2,0,0,2.863,1.4315,N
129,CQ,426,6/6/2016,M,1.569,Before,9/16/2016,1210,NMP,0,0,2,1,0,0,0,0,0,0,0,N
129,CQ,426,6/6/2016,M,1.569,After,9/16/2016,1445,NMP,0,0,2,0,0,0,0,0,0,0,0,N
130,QC,404,6/10/2016,M,1.716,After,9/16/2016,1230,NMP,2,2,7,0,1,0,0,0,0,0,0,N
131,CQ,426,6/6/2016,M,1.621,Before,9/16/2016,1210,NMP,0,0,2,1,0,0,0,0,0,0,0,N
132,CQ,426,6/6/2016,M,1.782,Before,9/16/2016,1230,NMP,0,0,5,1,0,0,3,0,0,5.596,1.865333333,N
132,CQ,426,6/6/2016,M,1.782,After,9/19/2016,1615,NMP,0,0,16,1,0,0,0,0,0,0,0,N
133,QH,401,6/23/2016,M,1.6,Before,9/19/2016,1310,NMP,1,2,14,1,2,3,0,0,0,0,0,N
134,CQ,431,6/23/2016,M,1.779,Before,9/19/2016,1255,NMP,0,0,0,1,0,0,0,0,0,0,0,N
134,CQ,431,6/23/2016,M,1.779,After,9/19/2016,1630,NMP,1,0,3,1,0,0,0,0,0,0,0,N
135,QH,401,6/23/2016,M,1.802,Before,9/19/2016,1255,NMP,3,0,2,0,1,2,0,0,0,0,0,N
135,QH,401,6/23/2016,M,1.802,After,9/19/2016,1615,NMP,0,0,5,0,0,0,0,0,0,0,0,N
136,CQ,404,5/24/2016,M,1.664,Before,9/19/2016,1310,NMP,1,9,27,1,0,3,0,0,0,0,0,N
136,CQ,404,5/24/2016,M,1.664,After,9/19/2016,1650,NMP,0,0,8,1,0,0,0,0,0,0,0,N
137,CQ,431,6/23/2016,M,1.738,Before,9/19/2016,1310,NMP,0,0,3,1,0,0,0,0,0,0,0,N
137,CQ,431,6/23/2016,M,1.738,After,9/19/2016,1630,NMP,0,0,0,0,0,0,0,0,0,0,0,N
138,CQ,404,5/24/2016,M,1.66,Before,9/19/2016,1310,NMP,0,0,4,1,0,0,0,0,0,0,0,N
138,CQ,404,5/24/2016,M,1.66,After,9/19/2016,1630,NMP,0,1,10,1,0,0,0,0,0,0,0,N
139,CQ,431,6/23/2016,M,1.929,Before,9/19/2016,1335,NMP,1,4,1,1,0,0,0,0,0,0,0,N
139,CQ,431,6/23/2016,M,1.929,After,9/19/2016,1600,NMP,0,0,13,1,0,0,0,0,0,0,0,N
140,CQ,404,5/24/2016,M,1.737,Before,9/19/2016,1335,NMP,2,8,25,1,4,3,0,0,0,0,0,N
140,CQ,404,5/24/2016,M,1.737,After,9/19/2016,1600,NMP,2,0,2,1,0,0,0,0,0,0,0,N
141,QH,401,6/23/2016,M,1.779,Before,9/19/2016,1255,NMP,1,0,2,0,0,0,0,0,0,0,0,N
141,QH,401,6/23/2016,M,1.779,After,9/19/2016,1615,NMP,0,0,22,1,0,0,0,0,0,0,0,N
142,CQ,431,6/23/2016,M,1.749,Before,9/19/2016,1335,NMP,0,0,0,0,0,0,0,0,0,0,0,N
142,CQ,431,6/23/2016,M,1.749,After,9/19/2016,1600,NMP,0,0,1,1,1,0,0,0,0,0,0,N
143,CQ,404,5/24/2016,M,1.653,Before,9/19/2016,1335,NMP,0,0,1,1,0,0,1,0,0,1.835,1.835,N
143,CQ,404,5/24/2016,M,1.653,After,9/19/2016,1600,NMP,0,0,0,1,0,0,0,0,0,0,0,N
144,QH,401,6/23/2016,M,1.771,Before,9/19/2016,1255,NMP,2,6,5,1,1,1,0,0,0,0,0,N
144,QH,401,6/23/2016,M,1.771,After,9/19/2016,1615,NMP,1,20,26,0,3,6,0,0,0,0,0,N
145,QC,404,6/10/2016,M,1.577,Before,9/20/2019,1245,NMP,2,3,4,2,3,1,0,0,0,0,0,N
145,QC,404,6/10/2016,M,1.577,After,9/20/2016,1530,NMP,2,0,1,2,0,0,0,0,0,0,0,N
146,CQ,401,6/6/2016,M,1.745,Before,9/20/2016,NA,NMP,0,0,7,1,0,0,0,0,0,0,0,N
146,CQ,401,6/6/2016,M,1.745,After,9/20/2016,1545,NMP,0,0,9,1,0,0,0,0,0,0,0,N
147,CQ,416,6/12/2016,M,1.785,Before,9/20/2016,1300,NMP,0,0,0,0,0,0,0,0,0,0,0,N
